finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source
Meleagris gallopavo intermedia,Metazoa,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,6.023,Mace_Harvey_1983
Mephitidae,Metazoa,Mammalia,Carnivora,Mephitidae,NA,NA,NA,NA
Metazoa,Metazoa,NA,NA,NA,NA,NA,NA,NA
Microtus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,NA,NA,NA
Microtus californicus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus,NA,NA
Microtus montanus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus,0.0567,Tamburello_etal_2015
Microtus pennsylvanicus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus,0.04961,Tamburello_etal_2015
Mirounga angustirostris,Metazoa,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,NA,NA
Molothrus,Metazoa,Aves,Passeriformes,Icteridae,Molothrus,NA,NA,NA
Muridae,Metazoa,Mammalia,Rodentia,Muridae,NA,NA,NA,NA
Mus,Metazoa,Mammalia,Rodentia,Muridae,Mus,NA,NA,NA
Mus musculus,Metazoa,Mammalia,Rodentia,Muridae,Mus,Mus musculus,0.014,Mace_Harvey_1983
Mustela,Metazoa,Mammalia,Carnivora,Mustelidae,Mustela,NA,NA,NA
Mustela frenata,Metazoa,Mammalia,Carnivora,Mustelidae,Mustela,Mustela frenata,0.165,Harestad_ Bunnel_1979
Mustelidae,Metazoa,Mammalia,Carnivora,Mustelidae,NA,NA,NA,NA
Nasua narica,Metazoa,Mammalia,Carnivora,Procyonidae,Nasua,Nasua narica,5,Gittleman and Harvey (1982)
Nasua nasua,Metazoa,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,NA,NA
Neosciurus carolinensis,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,0.625,Mace_Harvey_1983
Neotoma,Metazoa,Mammalia,Rodentia,Cricetidae,Neotoma,NA,NA,NA
Neotoma floridana,Metazoa,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma floridana,NA,NA
Neotoma lepida,Metazoa,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma lepida,NA,NA
Neurotrichus gibbsii,Metazoa,Mammalia,Eulipotyphla,Talpidae,Neurotrichus,Neurotrichus gibbsii,0.0095,Harestad and Bunnel 1979
Ochrotomys nuttalli,Metazoa,Mammalia,Rodentia,Cricetidae,Ochrotomys,Ochrotomys nuttalli,NA,NA
Odocoileus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,NA,NA,NA
Odocoileus hemionus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,53.86417,Tamburello_etal_2015
Odocoileus hemionus californicus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,53.86417,Tamburello_etal_2015
Odocoileus hemionus columbianus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,53.86417,Tamburello_etal_2015
Odocoileus virginianus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,87.88404,Tamburello_etal_2015
Oncorhynchus gorbuscha,Metazoa,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,NA,NA
Ondatra zibethicus,Metazoa,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus,1.36079,Tamburello_etal
Onychomys arenicola,Metazoa,Mammalia,Rodentia,Cricetidae,Onychomys,Onychomys arenicola,NA,NA
Oreamnos americanus,Metazoa,Mammalia,Artiodactyla,Bovidae,Oreamnos,Oreamnos americanus,NA,NA
Orthoptera,Metazoa,Insecta,Orthoptera,NA,NA,NA,NA,NA
Oryctolagus cuniculus,Metazoa,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,1.6,Tamburello_etal_2015
Oryx,Metazoa,Mammalia,Artiodactyla,Bovidae,Oryx,NA,NA,NA
Oryx gazella,Metazoa,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx gazella,NA,NA
Oryzomys melanotis,Metazoa,Mammalia,Rodentia,Cricetidae,Handleyomys,Handleyomys melanotis,NA,NA
Osgoodomys banderanus,Metazoa,Mammalia,Rodentia,Cricetidae,Osgoodomys,Osgoodomys banderanus,NA,NA
Otospermophilus beecheyi,Metazoa,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus beecheyi,0.72575,Tamburello_etal_2015
Otospermophilus variegatus,Metazoa,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,NA,NA
Ovis,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,NA,NA,NA
Ovis ammon,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis ammon,NA,NA
Ovis aries,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,NA,NA
Ovis canadensis,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,90.71936,Tamburello_etal_2015
Ovis canadensis mexicana,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,90.71936,Tamburello_etal_2015
Ovis canadensis nelsoni,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,90.71936,Tamburello_etal_2015
Ovis dalli,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis dalli,NA,NA
Panthera onca,Metazoa,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,84.04077,Tamburello_etal
Parabuteo unicinctus,Metazoa,Aves,Accipitriformes,Accipitridae,Parabuteo,Parabuteo unicinctus,0.73,Makarieva_etal_2005
Passerculus sandwichensis,Metazoa,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,0.02,Best_etal_1996
Pecari tajacu,Metazoa,Mammalia,Artiodactyla,Tayassuidae,Dicotyles,Dicotyles tajacu,NA,NA
Pelecanus occidentalis,Metazoa,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus occidentalis,NA,NA
Perognathinae,Metazoa,Mammalia,Rodentia,Heteromyidae,NA,NA,NA,NA
Perognathus fasciatus,Metazoa,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus fasciatus,NA,NA
Perognathus parvus,Metazoa,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus parvus,NA,NA
Peromyscus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,NA,NA,NA
Peromyscus aztecus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus aztecus,NA,NA
Peromyscus boylii,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,NA,NA
Peromyscus crinitus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus crinitus,NA,NA
Peromyscus gossypinus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus gossypinus,NA,NA
Peromyscus leucopus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,0.021,Hein_etal_2012
Peromyscus maniculatus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,0.016,Harestad_ Bunnel_1979
Peromyscus perfulvus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus perfulvus,NA,NA
Peromyscus polionotus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus polionotus,NA,NA
Phalacrocoracidae,Metazoa,Aves,Suliformes,Phalacrocoracidae,NA,NA,NA,NA
Phasianidae,Metazoa,Aves,Galliformes,Phasianidae,NA,NA,NA,NA
Phasianus,Metazoa,Aves,Galliformes,Phasianidae,Phasianus,NA,NA,NA
Philander opossum,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander opossum,NA,NA
Phoca vitulina,Metazoa,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,NA,NA
Phocidae,Metazoa,Mammalia,Carnivora,Phocidae,NA,NA,NA,NA
Phrynosoma cornutum,Metazoa,Lepidosauria,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma cornutum,0.055,Perry_Garland_2002
Pituophis,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,NA,NA,NA
Pituophis catenifer,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis catenifer,NA,NA
Pituophis melanoleucus,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis melanoleucus,1.004,Tamburello_etal_2015
Procyon lotor,Metazoa,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,8,Swihart_etal_1988
Procyonidae,Metazoa,Mammalia,Carnivora,Procyonidae,NA,NA,NA,NA
Pseudacris regilla,Metazoa,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,NA,NA
Pseudocorynosoma constrictum,Metazoa,Palaeacanthocephala,Polymorphida,Polymorphidae,Pseudocorynosoma,Pseudocorynosoma constrictum,NA,NA
Puma concolor,Metazoa,Mammalia,Carnivora,Felidae,Puma,Puma concolor,89.99948,Tamburello_etal_2015
Rallidae,Metazoa,Aves,Gruiformes,Rallidae,NA,NA,NA,NA
Rana draytonii,Metazoa,Amphibia,Anura,Ranidae,Rana,Rana draytonii,NA,NA
Rangifer tarandus,Metazoa,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,102.05869,Tamburello_etal_2015
Rattus norvegicus,Metazoa,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,NA,NA
Reithrodontomys fulvescens,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens,NA,NA
Reithrodontomys humulis,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys humulis,NA,NA
Reithrodontomys megalotis,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,0.009,Mace_Harvey_1983
Rena humilis,Metazoa,Lepidosauria,Squamata,Leptotyphlopidae,Rena,Rena humilis,NA,NA
Reptilia,Metazoa,Lepidosauria,NA,NA,NA,NA,NA,NA
Ribeiroia ondatrae,Metazoa,Trematoda,Plagiorchiida,Echinostomatidae,Ribeiroia,Ribeiroia ondatrae,NA,NA
Rodentia,Metazoa,Mammalia,Rodentia,NA,NA,NA,NA,NA
Romerolagus diazi,Metazoa,Mammalia,Lagomorpha,Leporidae,Romerolagus,Romerolagus diazi,NA,NA
Salmonidae,Metazoa,Actinopteri,Salmoniformes,Salmonidae,NA,NA,NA,NA
Sauromalus ater,Metazoa,Lepidosauria,Squamata,Iguanidae,Sauromalus,Sauromalus ater,NA,NA
Scalopus aquaticus,Metazoa,Mammalia,Eulipotyphla,Talpidae,Scalopus,Scalopus aquaticus,0.1035,Tamburello_etal_2015
Scapanus latimanus,Metazoa,Mammalia,Eulipotyphla,Talpidae,Scapanus,Scapanus latimanus,NA,NA
Scatophagidae,Metazoa,Actinopteri,NA,Scatophagidae,NA,NA,NA,NA
Sciuridae,Metazoa,Mammalia,Rodentia,Sciuridae,NA,NA,NA,NA
Sciurus carolinensis,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,0.625,Mace_Harvey_1983
Sciurus griseus,Metazoa,Mammalia,Rodentia,Sciuridae,Hesperosciurus,Hesperosciurus griseus,NA,NA
Sciurus niger,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,0.95299,Tamburello_etal_2015
Scorpiones,Metazoa,Arachnida,Scorpiones,NA,NA,NA,NA,NA
Serpentes,Metazoa,Lepidosauria,Squamata,NA,NA,NA,NA,NA
Sigmodon,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,NA,NA,NA
Sigmodon fulviventer,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon fulviventer,NA,NA
Sigmodon hispidus,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,0.08,Mace_Harvey_1983
Sigmodon mascotensis,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon mascotensis,NA,NA
Sonora occipitalis,Metazoa,Lepidosauria,Squamata,Colubridae,Sonora,Sonora occipitalis,NA,NA
Sorex,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,NA,NA,NA
Sorex cinereus,Metazoa,Mammalia,Eulipotyphla,Soricidae,Sorex,Sorex cinereus,0.00417,Tamburello_etal_2015
Soricidae,Metazoa,Mammalia,Eulipotyphla,Soricidae,NA,NA,NA,NA
Spermophilus,Metazoa,Mammalia,Rodentia,Sciuridae,Spermophilus,NA,NA,NA
Stenopelmatidae,Metazoa,Insecta,Orthoptera,Stenopelmatidae,NA,NA,NA,NA
Suidae,Metazoa,Mammalia,Artiodactyla,Suidae,NA,NA,NA,NA
Sus,Metazoa,Mammalia,Artiodactyla,Suidae,Sus,NA,NA,NA
Sus scrofa,Metazoa,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,NA,NA
